Date/Time (EDT),(hr),Supply1,Supply2,Return1,Return2,(W),(W).1,(gpm),(Btu/hr-ft)
2019-09-10 16:55:50,,,,57.48088,57.43497,,,20.01643,
2019-09-10 16:56:00,,,,57.48088,57.45028,,,19.9378,
2019-09-10 16:56:10,,,,57.55492,57.50902,,,19.99677,
2019-09-10 16:56:20,,,,57.49619,57.45028,,,20.11471,
2019-09-10 16:56:30,,,,57.57023,57.50902,,,19.91814,
2019-09-10 16:56:40,,,,57.57023,57.52432,,,19.97712,
2019-09-10 16:56:50,,,,57.57023,57.53962,,,20.15402,
2019-09-10 16:57:00,,,,57.69608,57.66549,,,19.95746,
2019-09-10 16:57:10,,,,57.71139,57.66549,,,20.21299,
2019-09-10 16:57:20,,,,57.72668,57.66549,,,20.11471,
2019-09-10 16:57:30,,,,57.72668,57.68079,,,20.01643,
2019-09-10 16:57:40,,,,57.72668,57.68079,,,19.97712,
2019-09-10 16:57:50,,,,57.72668,57.68078,,,20.21299,
2019-09-10 16:58:00,,,,57.72668,57.68078,,,20.15402,
2019-09-10 16:58:10,,,,57.78962,57.72842,,,19.95746,
2019-09-10 16:58:20,,,,57.78962,57.72842,,,20.05574,
2019-09-10 16:58:30,,,,57.78962,57.74372,,,20.0754,
2019-09-10 16:58:40,,,,57.78962,57.72842,,,20.01643,
2019-09-10 16:58:50,,,,57.84835,57.78716,,,20.09505,
2019-09-10 16:59:00,,,,57.83305,57.78716,,,19.9378,
2019-09-10 16:59:10,,,,57.84835,57.78716,,,20.0754,
2019-09-10 16:59:20,,,,57.84835,57.78716,,,19.89849,
2019-09-10 16:59:30,,,,57.81775,57.78716,,,19.95746,
2019-09-10 16:59:40,,,,57.81775,57.77186,,,19.9378,
2019-09-10 16:59:50,,,,57.81774,57.75655,,,19.99677,
2019-09-10 17:00:00,,,,57.88065,57.81946,,,20.05574,
2019-09-10 17:00:10,,,,57.86536,57.81946,,,19.9378,
2019-09-10 17:00:20,,,,57.85006,57.80416,,,20.09505,
2019-09-10 17:00:30,,,,57.85006,57.78886,,,20.09505,
2019-09-10 17:00:40,,,,57.91299,57.85181,,,19.85918,
2019-09-10 17:00:50,,,,57.8824,57.85181,,,19.95746,
2019-09-10 17:01:00,,,,57.8824,57.83651,,,19.85918,
2019-09-10 17:01:10,,,,57.8824,57.82121,,,20.09505,
2019-09-10 17:01:20,,,,57.8671,57.82121,,,19.99677,
2019-09-10 17:01:30,,,,57.91473,57.88414,,,20.09505,
2019-09-10 17:01:40,,,,57.91472,57.85353,,,20.03608,
2019-09-10 17:01:50,,,,57.88412,57.85353,,,20.0754,
2019-09-10 17:02:00,,,,57.88412,57.85353,,,20.0754,
2019-09-10 17:02:10,,,,57.86883,57.82294,,,19.91814,
2019-09-10 17:02:20,,,,57.91647,57.88588,,,20.0754,
2019-09-10 17:02:30,,,,57.91647,57.87058,,,19.95746,
2019-09-10 17:02:40,,,,57.90118,57.85529,,,20.0754,
2019-09-10 17:02:50,,,,57.88588,57.85529,,,20.01643,
2019-09-10 17:03:00,,,,57.88588,57.82469,,,20.03608,
2019-09-10 17:03:10,,,,57.87058,57.82469,,,19.87883,
2019-09-10 17:03:20,,,,57.85529,57.79409,,,19.89849,
2019-09-10 17:03:30,,,,57.90293,57.85704,,,20.0754,
2019-09-10 17:03:40,,,,57.88762,57.84172,,,20.13437,
2019-09-10 17:03:50,,,,57.85702,57.82642,,,19.99677,
2019-09-10 17:04:00,,,,57.91997,57.87408,,,20.01643,
2019-09-10 17:04:10,,,,57.91997,57.85878,,,20.0754,
2019-09-10 17:04:20,,,,57.88937,57.84348,,,20.01643,
2019-09-10 17:04:30,,,,57.87408,57.82819,,,19.85918,
2019-09-10 17:04:40,,,,57.87408,57.82819,,,19.97712,
2019-09-10 17:04:50,,,,57.85878,57.79759,,,19.97712,
2019-09-10 17:05:00,,,,57.84348,57.7823,,,20.09505,
2019-09-10 17:05:10,,,,57.88694,57.82575,,,20.05574,
2019-09-10 17:05:20,,,,57.88694,57.82575,,,20.11471,
2019-09-10 17:05:30,,,,57.85632,57.79513,,,19.95746,
2019-09-10 17:05:40,,,,57.85632,57.79513,,,19.97712,
2019-09-10 17:05:50,,,,57.88868,57.82749,,,19.97712,
2019-09-10 17:06:00,,,,57.88868,57.82749,,,19.97712,
2019-09-10 17:06:10,,,,57.87338,57.82749,,,20.11471,
2019-09-10 17:06:20,,,,57.85809,57.79689,,,20.13437,
2019-09-10 17:06:30,,,,57.82749,57.78159,,,19.95746,
2019-09-10 17:06:40,,,,57.82749,57.76629,,,20.05574,
2019-09-10 17:06:50,,,,57.81219,57.75099,,,20.13437,
2019-09-10 17:07:00,,,,57.87516,57.81396,,,20.05574,
2019-09-10 17:07:10,,,,57.84456,57.79867,,,20.13437,
2019-09-10 17:07:20,,,,57.82926,57.76807,,,20.03608,
2019-09-10 17:07:30,,,,57.82924,57.76804,,,19.9378,
2019-09-10 17:07:40,,,,57.81394,57.75275,,,20.03608,
2019-09-10 17:07:50,,,,57.86162,57.80042,,,20.13437,
2019-09-10 17:08:00,,,,57.86162,57.80042,,,19.89849,
2019-09-10 17:08:10,,,,57.86162,57.80042,,,20.17368,
2019-09-10 17:08:20,,,,57.84632,57.80042,,,20.05574,
2019-09-10 17:08:30,,,,57.83102,57.76982,,,20.01643,
2019-09-10 17:08:40,,,,57.89399,57.8328,,,19.85918,
2019-09-10 17:08:50,,,,57.89399,57.8328,,,19.91814,
2019-09-10 17:09:00,,,,57.87869,57.8328,,,19.89849,
2019-09-10 17:09:10,,,,57.87869,57.8175,,,20.03608,
2019-09-10 17:09:20,,,,57.92637,57.86518,,,19.87883,
2019-09-10 17:09:30,,,,57.92635,57.86516,,,20.01643,
2019-09-10 17:09:40,,,,57.92635,57.86516,,,20.05574,
2019-09-10 17:09:50,,,,57.91105,57.84986,,,20.0754,
2019-09-10 17:10:00,,,,57.91105,57.83456,,,19.9378,
2019-09-10 17:10:10,,,,57.89575,57.83456,,,19.99677,
2019-09-10 17:10:20,,,,57.86516,57.80397,,,19.91814,
2019-09-10 17:10:30,,,,57.86516,57.80397,,,19.89849,
2019-09-10 17:10:40,,,,57.92814,57.85165,,,20.05574,
2019-09-10 17:10:50,,,,57.89754,57.83636,,,20.11471,
2019-09-10 17:11:00,,,,57.89754,57.83636,,,20.05574,
2019-09-10 17:11:10,,,,57.89754,57.83636,,,19.99677,
2019-09-10 17:11:20,,,,57.92992,57.86873,,,19.95746,
2019-09-10 17:11:30,,,,57.92992,57.86873,,,20.03608,
2019-09-10 17:11:40,,,,57.91462,57.85342,,,20.05574,
2019-09-10 17:11:50,,,,57.89932,57.83813,,,19.87883,
2019-09-10 17:12:00,,,,57.88403,57.82283,,,20.01643,
2019-09-10 17:12:10,,,,57.86873,57.80753,,,19.99677,
2019-09-10 17:12:20,,,,57.86873,57.80753,,,20.03608,
2019-09-10 17:12:30,,,,57.85342,57.79224,,,20.01643,
2019-09-10 17:12:40,,,,57.90111,57.83992,,,19.99677,
2019-09-10 17:12:50,,,,57.88581,57.82462,,,20.11471,
2019-09-10 17:13:00,,,,57.87052,57.80933,,,19.9378,
2019-09-10 17:13:10,,,,57.85522,57.79403,,,19.89849,
2019-09-10 17:13:20,,,,57.91819,57.8417,,,19.99677,
2019-09-10 17:13:30,,,,57.90289,57.8417,,,19.95746,
2019-09-10 17:13:40,,,,57.8876,57.8264,,,19.95746,
2019-09-10 17:13:50,,,,57.8876,57.81111,,,20.0754,
2019-09-10 17:14:00,,,,57.8723,57.81111,,,19.99677,
2019-09-10 17:14:10,,,,57.857,57.79581,,,20.0754,
2019-09-10 17:14:20,,,,57.8417,57.78051,,,19.9378,
2019-09-10 17:14:30,,,,57.8264,57.76521,,,20.03608,
2019-09-10 17:14:40,,,,57.8894,57.81291,,,20.0754,
2019-09-10 17:14:50,,,,57.8894,57.81291,,,20.11471,
